adm3_name,adm4_name,lat,lon,is_rural,nearest_tower_km,gap_score,earthquake_raw,cyclone_raw,earthquake_score,cyclone_score,flood_score,hazard_score,safety_score,baseline_suitability
Dala,Rakhine Chaung (North),16.6502219,96.1935247,1,6.4657293074201,0.258629172296804,144.35092924848715,0.0717407935705692,0.5685509811297226,1.0,0.0,0.6332683339602642,0.3667316660397358,46.01872532840427
Dala,Da Noke San Pya,16.6109387,96.21245842,1,6.5705709654647455,0.2628228386185898,140.41447731963143,0.0737404939780175,0.38843747705895,1.0,0.0,0.4801718555001074,0.5198281444998926,48.56679248461377
Dala,Nyaung Chaung,16.63847928,96.20521698,1,5.979153988636769,0.2391661595454707,141.23041475785288,0.0727495095052878,0.4257709320983249,1.0,0.0,0.5119052922835762,0.4880947077164238,46.67139018847461
Dala,Tone Tin Gan (South),16.65595629,96.22027715,1,3.63910793972386,0.1455643175889544,141.23041475785288,0.0727495095052878,0.4257709320983249,1.0,0.0,0.5119052922835762,0.4880947077164238,41.055279671083625
Dala,Tone Tin Gan (North),16.67363072,96.18836785,1,5.592054721456519,0.2236821888582607,142.07649209217834,0.0718291180448283,0.4644834468589242,1.0,0.0,0.5448109298300855,0.4551890701699145,45.24876738404436
Dala,Boe Hpyu Chaung,16.61554359,96.17962644,1,5.684395153905194,0.2273758061562077,144.35092924848715,0.0717407935705692,0.5685509811297226,1.0,0.0,0.6332683339602642,0.3667316660397358,44.1435233599685
Dala,Kha Naung (Ywar Ma),16.69111749,96.19147367,1,4.832535323744748,0.1933014129497899,142.07649209217834,0.0718291180448283,0.4644834468589242,1.0,0.0,0.5448109298300855,0.4551890701699145,43.42592082953611
Dala,Kha Naung (Upper),16.69588196,96.16521653,1,4.1041211646110085,0.1641648465844403,145.16071967715675,0.0695875359158148,0.6056031779574006,1.0,0.0,0.6647627012637906,0.3352372987362094,39.87845027610956
Dala,Kha Naung (Shan Su),16.71819507,96.18742907,1,3.748592647573021,0.1499437059029208,145.16071967715675,0.0695875359158148,0.6056031779574006,1.0,0.0,0.6647627012637906,0.3352372987362094,39.02518183521839
Dala,Ta Dar Chaung,16.74016509,96.17469536,1,2.3004436122609024,0.092017744490436,145.16071967715675,0.0695875359158148,0.6056031779574006,1.0,0.0,0.6647627012637906,0.3352372987362094,35.54962415046931
Dala,Ye Chaung,16.72090599,96.16314077,1,1.456732882323605,0.0582693152929442,145.16071967715675,0.0695875359158148,0.6056031779574006,1.0,0.0,0.6647627012637906,0.3352372987362094,33.5247183986198
Dala,Tha Pyay Kone,16.74141162,96.14077078,1,1.8812209369541135,0.0752488374781645,145.16071967715675,0.0695875359158148,0.6056031779574006,1.0,0.0,0.6647627012637906,0.3352372987362094,34.54348972973302
Dala,Nyaung Ngoke To,16.73008088,96.12517837,1,3.1882401928764543,0.1275296077150581,145.16071967715675,0.0695875359158148,0.6056031779574006,1.0,0.0,0.6647627012637906,0.3352372987362094,37.68033594394664
Dala,Htaw (Lower),16.72872465,96.09364707,1,3.872064405657348,0.1548825762262939,147.3648681899292,0.068609271800171,0.7064546348792263,0.998208135097012,0.0,0.7502176599118942,0.2497823400881058,38.03968967489922
Dala,Ye Chaung Wa,16.70734175,96.14136593,1,3.0569445815069387,0.1222777832602775,145.16071967715675,0.0695875359158148,0.6056031779574006,1.0,0.0,0.6647627012637906,0.3352372987362094,37.3652264766598
Dala,Pyawbwe Gyi,16.68521511,96.13418763,1,4.881948798906269,0.1952779519562507,144.35092924848715,0.0717407935705692,0.5685509811297226,1.0,0.0,0.6332683339602642,0.3667316660397358,42.21765210797109
Dala,Shwe Hlay Chaung,16.66704433,96.15260603,1,3.508031773425485,0.1403212709370194,144.35092924848715,0.0717407935705692,0.5685509811297226,1.0,0.0,0.6332683339602642,0.3667316660397358,38.9202512468172
Dala,Nyaung Pin,16.6291164,96.14536142,1,1.8502607809462683,0.0740104312378507,144.35092924848715,0.0717407935705692,0.5685509811297226,1.0,0.0,0.6332683339602642,0.3667316660397358,34.94160086486708
Dala,Kywe Lu Aing,16.62360188,96.1178349,1,2.585101748301777,0.103404069932071,144.35092924848715,0.0717407935705692,0.5685509811297226,1.0,0.0,0.6332683339602642,0.3667316660397358,36.705219186520296
Dala,Than Ban Chaung,16.66062288,96.11364426,1,3.017669995636806,0.1207067998254722,144.35092924848715,0.0717407935705692,0.5685509811297226,1.0,0.0,0.6332683339602642,0.3667316660397358,37.743382980124366
Dala,Htu Gyi,16.7062626,96.10758375,1,5.227851845203336,0.2091140738081334,147.3648681899292,0.068609271800171,0.7064546348792263,0.998208135097012,0.0,0.7502176599118942,0.2497823400881058,41.29357952980959
Dala,Tha Yaw Tan,16.6610959,96.08419836,1,5.699100626504212,0.2279640250601684,144.35092924848715,0.0717407935705692,0.5685509811297226,1.0,0.0,0.6332683339602642,0.3667316660397358,44.17881649420615
Dala,Urban,16.75130616,96.15496245,0,0.7766329561787508,0.03106531824715,145.70008555460578,0.0688427766072392,0.6302820207120715,1.0,0.0,0.6857397176052608,0.3142602823947392,6.577823330750091
Seikgyikanaungto,Urban,16.76649676,96.11040694,0,1.960169390946604,0.0784067756378641,146.8838455658222,0.0679005429329859,0.6844453046673838,0.9645095831851402,0.0,0.7264549464450473,0.2735450535549527,8.80758234159614
Kyauktada,Urban,16.7743332,96.16131697,0,0.0304509226109328,0.0012180369044373,145.77066752098642,0.0685295907086946,0.6335115191331836,0.994419468482968,0.0,0.6876477115356512,0.3123522884643488,4.758366541231471
Pabedan,Urban,16.77548142,96.15572775,0,0.0072474601967466,0.0002898984078698,145.95434637514074,0.0684160038110503,0.64191579858162,0.989018652819883,0.0,0.6939812267173593,0.3060187732826407,4.6076755037118025
Lanmadaw,Urban,16.7761608,96.14191474,0,0.0734555616651582,0.0029382224666063,146.36755159826922,0.068187139063966,0.6608221238672048,0.9781366203283192,0.0,0.708419298336372,0.291580701663628,4.5500038729508
Latha,Urban,16.77616556,96.15051864,0,0.0353432224154807,0.0014137288966192,146.12033014355058,0.0683164651804324,0.6495104342300366,0.9842858024077964,0.0,0.6997267394567006,0.3002732605432994,4.588922641946644
Ahlone,Urban,16.7855142,96.12699724,0,0.1012215518620604,0.0040488620744824,146.9734361380468,0.0677215520681344,0.6885445473830863,0.9559989478346876,0.0,0.7286627074508265,0.2713372925491735,4.312991112706547
Kyeemyindaing,Urban,16.80646533,96.0925976,0,3.038666535753365,0.1215466614301346,147.7278944870838,0.0669065195477469,0.7230650087976899,0.9172458830593992,0.0,0.7521921399369462,0.2478078600630537,11.00991758675388
Sanchaung,Urban,16.80699137,96.13353216,0,0.0291710396949255,0.001166841587797,147.2069711169735,0.0672750863136492,0.6992300083356887,0.9347704497432432,0.0,0.7345610745468218,0.2654389254531781,4.051594377065493
Hlaing,Urban,16.84693303,96.12088316,0,0.0605355614899995,0.0024214224595999,148.4174775437042,0.0660707545412654,0.7546170823198572,0.8775070326173319,0.0,0.7730505748644785,0.2269494251355215,3.5495267246088216
Kamaryut,Urban,16.82329337,96.13152672,0,0.0201403190224274,0.000805612760897,147.61669283198893,0.0668201375558137,0.717976944693366,0.9131386028649668,0.0,0.7472511934191062,0.2527488065808938,3.8395688643672337
Mingaladon,Urban,16.93492511,96.13985731,0,0.144733691251608,0.0057893476500643,150.1276787581965,0.0640322481838148,0.8328678368001342,0.7805803862087101,0.0,0.8250247192114205,0.1749752807885795,2.971990070832552
Mayangone,Urban,16.85931953,96.15344248,0,0.0455979380467355,0.0018239175218694,147.80908107410193,0.0661750866369005,0.726779724723519,0.8824678021070788,0.0,0.7501329363310529,0.249867063668947,3.857441006346371
Dagon,Urban,16.79300305,96.14449028,0,0.0451078952513629,0.0018043158100545,146.61841682224878,0.0677886646684003,0.6723005352277602,0.9591900093939342,0.0,0.7153339563526863,0.2846660436473137,4.378249603312977
Bahan,Urban,16.81105267,96.15700645,0,0.1053304495421052,0.0042132179816842,146.6668869707177,0.0674700720449623,0.6745183009826462,0.9440416070122052,0.0,0.71494679688708,0.28505320311292,4.528591125594853
Hlaingtharya (East),Shwe Lin Ban,16.90133487,96.0646035,1,0.2865695715634848,0.0114627828625393,151.22503945505105,0.0639128556093153,0.8830778949723599,0.7749035229455488,0.0,0.8668517391683381,0.1331482608316618,27.68499088422729
Hlaingtharya (East),Ka Sin,16.9011134,96.07938109,1,0.6775791658042891,0.0271031666321715,151.05246737468158,0.0640030564309988,0.8751818091920968,0.7791923803813523,0.0,0.860783394870485,0.1392166051295149,28.714439074873017
Hlaingtharya (East),Shan Chaung,16.85309548,96.09495351,1,0.2445613722730866,0.0097824548909234,149.34254305718054,0.0654892610706619,0.7969437242142714,0.8498582534962341,0.0,0.8048809036065657,0.1951190963934342,28.513733739356923
Hlaingtharya (East),Yae Oke Kan,16.85632028,96.06057978,1,0.3745464838426476,0.0149818593537059,150.23890643542046,0.064959244745764,0.8379570915545501,0.8246571032881851,0.0,0.8359620933145954,0.1640379066854046,28.359480161503427
Hlaingtharya (East),Nyaung,16.84263279,96.08609244,1,0.1675265218033134,0.0067010608721325,149.3010221091763,0.0656582844322742,0.7950439211498512,0.857894955244016,0.0,0.8044715762639759,0.195528423736024,28.33499000836831
Hlaingtharya (East),Urban,16.87528089,96.07050431,0,0.1507760094520362,0.0060310403780814,150.378007634219,0.0646971385000903,0.8443217074037601,0.8121945081615842,0.0,0.8395026275174337,0.1604973724825663,2.769323009923382
Hlaingtharya (West),Ah Lel,16.91741551,96.06587088,1,0.1218167862921591,0.0048726714516863,151.6536225745291,0.0635199373647129,0.9026878403825692,0.756221095185204,0.0,0.8807178286029644,0.1192821713970355,27.08159285805672
Hlaingtharya (West),Ku Lar Gyi Su,16.89064471,96.02314735,1,1.147751730039689,0.0459100692015875,152.00737064661817,0.0635262132888042,0.9188736864118804,0.7565195020422955,0.0,0.8945205587564427,0.1054794412435573,29.336795770748616
