candidate_id,adm3_name,adm4_name,adm4_pcode,lat,lon,spatial_group,gap_score,population_score,is_rural,safety_score,elevation_score,nearest_tower_km,population_2020,earthquake_score,cyclone_score,flood_score,elevation_m,label_suitability_score,optimal_site,label_source
20,Hmawbi,Nyaung Kone,MMR013003022,17.203516911158413,95.95197659560228,Hmawbi,0.0444525813481246,0.6436223288593076,1,0.1469156826500182,0.21621621621621623,1.111314533703115,4401.987287044525,1.0,0.0205621156665458,0.0,9.0,35.670814,0,dashboard_rule_top_quartile_v1
21,Hmawbi,Myit Kyoe,MMR013003023,17.210188811012173,95.91828066590028,Hmawbi,0.1869408181809274,0.6348741763434699,1,0.15,0.1891891891891892,4.673520454523187,3927.451558828354,1.0,0.0,0.0,8.0,40.692522,0,dashboard_rule_top_quartile_v1
22,Hmawbi,Shwe Mya Yar Kone,MMR013003024,17.224002291403107,95.9591768665472,Hmawbi,0.0216348989610846,0.7203824231099821,1,0.1490634862030467,0.2972972972972973,0.540872474027116,11974.960305690764,1.0,0.0062434253130217,0.0,12.0,37.856641,0,dashboard_rule_top_quartile_v1
23,Hmawbi,Pauk Kone,MMR013003025,17.075588730714273,96.04606922325944,Hmawbi,0.087013553779566,0.6065089202899899,1,0.2290759302033973,0.1891891891891892,2.1753388444891515,2713.168529510498,0.8757497484293407,0.176911890877754,0.0,8.0,36.729978,0,dashboard_rule_top_quartile_v1
24,Hmawbi,Than Day Pin,MMR013003026,17.082982798061018,96.09723440773764,Hmawbi,0.0198169790467334,0.7329449524414666,1,0.2511834268520913,0.5945945945945946,0.4954244761683356,14105.873046875,0.8467195617140113,0.1940329712733274,0.0,23.0,42.879014,0,dashboard_rule_top_quartile_v1
25,Hmawbi,Boe Daw Na Kone,MMR013003028,17.136018162698765,96.09717220248758,Hmawbi,0.1519564401223714,0.7084389742857655,1,0.2166846151003143,0.40540540540540543,3.798911003059285,10248.312767863274,0.8959336017845038,0.1451454892190493,0.0,16.0,44.642727,0,dashboard_rule_top_quartile_v1
26,Hmawbi,Nyaung Hnit Pin,MMR013003029,17.113252805472868,96.13584777608632,Hmawbi,0.1163099476857209,0.7025675700691837,1,0.2558113867375778,0.24324324324324326,2.907748692143025,9493.1237783432,0.8431026506981745,0.1836757344598257,0.0,10.0,41.319772,0,dashboard_rule_top_quartile_v1
27,Hmawbi,Yoe Gyi,MMR013003030,17.024544164626228,96.04413521483364,Hmawbi,0.104235477127219,0.5688029676582869,1,0.2598570154216618,0.10810810810810811,2.6058869281804764,1659.2428259849548,0.8313541120937169,0.2232799286578589,0.0,5.0,35.630328,0,dashboard_rule_top_quartile_v1
28,Hmawbi,Moe Kyoe Pyit,MMR013003031,17.049491119039917,96.03782802835632,Hmawbi,0.1192898425974492,0.6021470202758019,1,0.2416313088708114,0.24324324324324326,2.982246064936232,2563.1458798646927,0.8574236271226447,0.1970573871662709,0.0,10.0,38.693405,0,dashboard_rule_top_quartile_v1
29,Hmawbi,Yae Paw Theit,MMR013003032,17.021043635160368,96.01940058535386,Hmawbi,0.1124312423023836,0.6997271196352635,1,0.2503358454726992,0.16216216216216217,2.810781057559591,9148.012282252312,0.8440987260500588,0.214534915898339,0.0,7.0,39.988705,0,dashboard_rule_top_quartile_v1
