tower_id,adm3_name,lat_r,lon_r,lat,lon,cell_count,radios,networks,max_range_m,nearest_other_site_km,isolation_score,earthquake_raw,cyclone_raw,earthquake_score,cyclone_score,flood_score,historical_hazard_score,legacy_score,analysis_area,adm2_name,adm2_pcode,estimated_population_nearest,estimated_population_primary_5km,estimated_people_per_cell,flood_frequency,flood_count,flood_history_score,historical_flood_exposed_population_assigned
1534,Dagon Myothit (North),16.89172,96.19066,16.891724,96.190659,1,UMTS,MPT,1000,0.0546312142072653,0.165804498388051,147.44526010136465,0.0658288363829356,0.7101329901924064,0.8660043381535377,0.0,0.7335136923865762,0.55,Yangon City,Yangon (East),MMR013D002,1516.3145904541016,1516.3145904541016,1516.3145904541016,0.0,0.0,0.0,0.0
1535,Dagon Myothit (North),16.89182,96.19732,16.891823,96.197319,1,UMTS,Telenor,1000,0.0528197510587888,0.160303074361369,147.23873189090023,0.0659130837115956,0.7006832317935983,0.8700101196445041,0.0,0.7260822649712342,0.55,Yangon City,Yangon (East),MMR013D002,151.96160507202148,151.96160507202148,151.96160507202148,0.0,0.0,0.0,0.0
1536,Dagon Myothit (North),16.89199,96.19397,16.891991,96.19397,1,UMTS,MPT,1000,0.0368940087516248,0.1119365031478894,147.3481314873632,0.0658650816580466,0.705688842180563,0.8677277239805319,0.0,0.7299946744505583,0.55,Yangon City,Yangon (East),MMR013D002,670.9981231689453,670.9981231689453,670.9981231689453,0.0,0.0,0.0,0.0
1537,Dagon Myothit (North),16.89207,96.19431,16.892073,96.194306,1,UMTS,MPT,1000,0.0363510360868709,0.1102874920342926,147.33957620427552,0.0658673339577159,0.7052973927120855,0.867834816044705,0.0,0.7296780062119784,0.55,Yangon City,Yangon (East),MMR013D002,75.02753448486328,75.02753448486328,75.02753448486328,0.0,0.0,0.0,0.0
1538,Dagon Myothit (North),16.89215,96.19464,16.892154,96.194637,1,UMTS,MPT,1000,0.0363510360868709,0.1102874920342926,147.33114807410783,0.0658695464974216,0.7049117611624813,0.8679400176070821,0.0,0.7293659996291715,0.55,Yangon City,Yangon (East),MMR013D002,375.9822082519531,375.9822082519531,375.9822082519531,0.0,0.0,0.0,0.0
1539,Dagon Myothit (North),16.89217,96.175,16.892166137695,96.175003051758,2,GSM,MPT,1000,0.2043445895482034,0.6204848825344486,147.93877849458764,0.0656130535067398,0.7327140679581924,0.8557443208297631,0.0,0.751168605888928,0.75,Yangon City,Yangon (East),MMR013D002,1269.2090606689453,1269.2090606689453,634.6045303344727,0.0,0.0,0.0,0.0
1540,Dagon Myothit (North),16.89217,96.17844,16.892166,96.178436,1,GSM,MPT,1000,0.0817715679962484,0.2482299093344145,147.83393232620602,0.065657895240232,0.7279168009987821,0.8578764499892613,0.0,0.7474107483473539,0.75,Yangon City,Yangon (East),MMR013D002,377.67613220214844,377.67613220214844,377.67613220214844,0.0,0.0,0.0,0.0
1541,Dagon Myothit (North),16.89217,96.1805,16.892166137695,96.18049621582,2,UMTS,"Ooredoo, Telenor",1000,0.044838430362717,0.1360637573877088,147.7707402459587,0.0656847911420684,0.7250254289692055,0.8591552929801691,0.0,0.74514490857085,0.55,Yangon City,Yangon (East),MMR013D002,432.45572662353516,432.45572662353516,216.22786331176758,0.0,0.0,0.0,0.0
1542,Dagon Myothit (North),16.89217,96.19148,16.892166137695,96.191482543945,1,UMTS,MPT,1000,0.0634778423893723,0.1926717591860973,147.4302719616095,0.0658281166076823,0.709447203494234,0.8659701143694318,0.0,0.7329256401255136,0.55,Yangon City,Yangon (East),MMR013D002,185.24784088134766,185.24784088134766,185.24784088134766,0.0,0.0,0.0,0.0
1543,Dagon Myothit (North),16.89217,96.19286,16.892166137695,96.192855834961,2,UMTS,MPT,1000,0.1201332794563844,0.3647346482295666,147.38730503013915,0.0658460180879537,0.7074812390353354,0.8668212917239302,0.0,0.7313822469386246,0.55,Yangon City,Yangon (East),MMR013D002,397.57894134521484,397.57894134521484,198.78947067260742,0.0,0.0,0.0,0.0
