time,place,status,tsunami,significance,data_type,magnitudo,state,longitude,latitude,depth,date
890362966440,"122 km SSE of Sittwe, Myanmar",reviewed,0,234,earthquake,3.9, Myanmar,93.471,19.184,33.0,1998-03-20 03:02:46.440000+00:00
894484573710,"117 km WSW of Myanaung, Myanmar",reviewed,0,369,earthquake,4.9, Myanmar,94.343,17.791,33.0,1998-05-06 19:56:13.710000+00:00
899976047360,"39 km NE of Paungde, Myanmar",reviewed,0,312,earthquake,4.5, Myanmar,95.786,18.735,57.3,1998-07-09 09:20:47.360000+00:00
904451811480,Myanmar,reviewed,0,326,earthquake,4.6,Myanmar,94.675,19.81,65.0,1998-08-30 04:36:51.480000+00:00
905117739400,"32 km NNE of Pathein, Myanmar",reviewed,0,188,earthquake,3.5, Myanmar,94.866,17.041,33.0,1998-09-06 21:35:39.400000+00:00
905805929120,"195 km SSE of Pyapon, Myanmar",reviewed,0,340,earthquake,4.7, Myanmar,96.107,14.568,33.0,1998-09-14 20:45:29.120000+00:00
912427248950,"33 km N of Yangon, Myanmar",reviewed,0,312,earthquake,4.5, Myanmar,96.106,17.101,10.0,1998-11-30 12:00:48.950000+00:00
918273221390,"289 km SSW of Mawlamyinegyunn, Myanmar",reviewed,0,312,earthquake,4.5, Myanmar,93.858,14.142,43.3,1999-02-06 03:53:41.390000+00:00
920512052640,"176 km WSW of Dawei, Myanmar",reviewed,0,326,earthquake,4.6, Myanmar,96.719,13.404,33.0,1999-03-04 01:47:32.640000+00:00
920514244860,"183 km WSW of Dawei, Myanmar",reviewed,0,312,earthquake,4.5, Myanmar,96.649,13.39,33.0,1999-03-04 02:24:04.860000+00:00
934733915880,"24 km WSW of Pyu, Myanmar",reviewed,0,416,earthquake,5.2, Myanmar,96.228,18.389,18.4,1999-08-15 16:18:35.880000+00:00
934734226630,"33 km SW of Pyu, Myanmar",reviewed,0,312,earthquake,4.5, Myanmar,96.245,18.245,18.3,1999-08-15 16:23:46.630000+00:00
936358723240,"286 km WSW of Dawei, Myanmar",reviewed,0,340,earthquake,4.7, Myanmar,95.771,13.039,33.0,1999-09-03 11:38:43.240000+00:00
936658221260,"160 km W of Pyay, Myanmar",reviewed,0,298,earthquake,4.4, Myanmar,93.715,18.647,33.0,1999-09-06 22:50:21.260000+00:00
941130384420,"21 km S of Kanbe, Myanmar",reviewed,0,326,earthquake,4.6, Myanmar,95.988,16.517,97.6,1999-10-28 17:06:24.420000+00:00
953440640470,"45 km WSW of Myanaung, Myanmar",reviewed,0,298,earthquake,4.4, Myanmar,94.897,18.195,74.9,2000-03-19 04:37:20.470000+00:00
959973357170,"206 km SSE of Pyapon, Myanmar",reviewed,0,222,earthquake,3.8, Myanmar,96.12,14.47,46.8,2000-06-02 19:15:57.170000+00:00
964823174000,"46 km SSE of Magway, Myanmar",reviewed,0,298,earthquake,4.4, Myanmar,95.159,19.793,33.0,2000-07-28 22:26:14+00:00
967048314280,"46 km SSE of Magway, Myanmar",reviewed,0,298,earthquake,4.4, Myanmar,95.152,19.785,86.6,2000-08-23 16:31:54.280000+00:00
967068187700,"30 km SW of Chauk, Myanmar",reviewed,0,222,earthquake,3.8, Myanmar,94.577,20.747,33.0,2000-08-23 22:03:07.700000+00:00
987175124270,"132 km NNW of Pathein, Myanmar",reviewed,0,312,earthquake,4.5, Myanmar,94.156,17.836,33.0,2001-04-13 15:18:44.270000+00:00
987589244050,"16 km SSE of Pyay, Myanmar",reviewed,0,271,earthquake,4.2, Myanmar,95.299,18.694,97.5,2001-04-18 10:20:44.050000+00:00
989814953640,"52 km SW of Minbu, Myanmar",reviewed,0,246,earthquake,4.0, Myanmar,94.566,19.804,70.1,2001-05-14 04:35:53.640000+00:00
990578966530,"57 km WSW of Hinthada, Myanmar",reviewed,0,246,earthquake,4.0, Myanmar,94.928,17.542,54.2,2001-05-23 00:49:26.530000+00:00
998090261510,"158 km SSE of Pyapon, Myanmar",reviewed,0,326,earthquake,4.6, Myanmar,96.307,14.984,10.0,2001-08-17 23:17:41.510000+00:00
