yangon_tower_id,distance_to_grouped_site_m,radio,MCC,MNC,TAC,CID,LON,LAT,RANGE,averageSignal,Network,adm3_name
4731,0.0,UMTS,414,1,351,2041639,96.140670776367,16.853713989258,1000,0,MPT,Mayangone
4736,0.0,UMTS,414,1,351,2041638,96.145477,16.853714,1000,0,MPT,Mayangone
4703,0.0,UMTS,414,1,351,2041709,96.155777,16.850967,1000,0,MPT,Mayangone
4702,0.0,GSM,414,1,300,11043,96.15509,16.850967,1000,0,MPT,Mayangone
4673,0.0,GSM,414,1,5001,11161,96.155776977539,16.849594116211,1000,0,MPT,Mayangone
1560,0.0,GSM,414,1,301,13293,96.183243,16.895599,1000,0,MPT,Dagon Myothit (North)
1540,0.0,GSM,414,1,301,13292,96.178436,16.892166,1000,0,MPT,Dagon Myothit (North)
1528,0.0,GSM,414,1,301,13502,96.17569,16.89045,1000,0,MPT,Dagon Myothit (North)
1510,0.0,GSM,414,1,301,13321,96.164841,16.887222,1114,0,MPT,Dagon Myothit (North)
1500,0.0,GSM,414,1,301,13633,96.16127,16.886673,1000,0,MPT,Dagon Myothit (North)
2505,0.0,GSM,414,1,300,10203,96.081619262695,16.878433227539,1000,0,MPT,Hlaingtharya (East)
2508,0.0,GSM,414,1,300,10201,96.084366,16.87912,1000,0,MPT,Hlaingtharya (East)
3270,0.0,GSM,414,1,300,12122,96.091232,16.882553,1000,0,MPT,Insein
3401,0.0,GSM,414,1,300,11083,96.111145,16.88942,1000,0,MPT,Insein
3344,0.0,GSM,414,1,300,11082,96.109772,16.886673,1000,0,MPT,Insein
7395,0.0,UMTS,414,1,7001,132784,96.175003,16.799469,1000,0,MPT,Tamwe
7390,0.0,UMTS,414,1,7001,132790,96.175003051758,16.798782348633,1000,0,MPT,Tamwe
1621,0.0,UMTS,414,1,7002,591658,96.271133422852,16.833114624023,1000,0,MPT,Dagon Myothit (Seikkan)
3438,0.0,UMTS,414,1,351,2041989,96.125564575195,16.89079284668,1000,0,MPT,Insein
6709,0.0,UMTS,414,1,7001,133104,96.172256469727,16.776809692383,1000,0,MPT,Pazundaung
6462,0.0,UMTS,414,1,351,2041622,96.158524,16.910877,1000,0,MPT,North Okkalapa
6731,0.0,UMTS,414,1,7001,134047,96.170883178711,16.778182983398,1000,0,MPT,Pazundaung
6731,0.0,UMTS,414,1,7001,134044,96.170883178711,16.778182983398,1000,0,MPT,Pazundaung
1465,0.0,UMTS,414,1,351,2042114,96.195602,16.880493,1000,0,MPT,Dagon Myothit (North)
1466,0.0,UMTS,414,1,351,2042108,96.196289,16.880493,1000,0,MPT,Dagon Myothit (North)
7094,0.0,UMTS,414,1,7002,592159,96.175003051758,16.83723449707,1000,0,MPT,South Okkalapa
117,0.0,UMTS,414,1,7001,132807,96.131057739258,16.794662475586,1000,0,MPT,Ahlone
6774,0.0,UMTS,414,1,7001,133108,96.173629760742,16.78092956543,1000,0,MPT,Pazundaung
3789,0.0,UMTS,414,1,7002,591880,96.121445,16.823158,1000,0,MPT,Kamaryut
3795,0.0,UMTS,414,1,7002,591877,96.121444702148,16.823501586914,1000,0,MPT,Kamaryut
4055,0.0,GSM,414,1,5002,20592,96.560897827148,16.907272338867,1000,0,MPT,Kayan
4685,0.0,UMTS,414,1,351,2041712,96.159439,16.850052,1000,0,MPT,Mayangone
2024,0.0,UMTS,414,1,7002,592525,96.126937866211,16.842727661133,1000,0,MPT,Hlaing
2492,0.0,UMTS,414,1,351,2042095,96.062393,16.876935,1000,0,MPT,Hlaingtharya (East)
2487,0.0,UMTS,414,1,351,2042094,96.065826,16.876373,1000,0,MPT,Hlaingtharya (East)
2159,0.0,UMTS,414,1,351,2042258,96.110458374023,16.850967407227,1000,0,MPT,Hlaing
2157,0.0,UMTS,414,1,351,2042261,96.109085083008,16.850967407227,1000,0,MPT,Hlaing
2157,0.0,UMTS,414,1,351,2042264,96.109085083008,16.850967407227,1000,0,MPT,Hlaing
2157,0.0,UMTS,414,1,351,2042259,96.109085083008,16.850967407227,1000,0,MPT,Hlaing
2157,0.0,UMTS,414,1,351,2042265,96.109085083008,16.850967407227,1000,0,MPT,Hlaing
2469,0.0,UMTS,414,1,351,2042091,96.06514,16.871567,1000,0,MPT,Hlaingtharya (East)
2409,0.0,UMTS,414,1,351,2042142,96.057587,16.863327,1000,0,MPT,Hlaingtharya (East)
2402,0.0,UMTS,414,1,351,2042145,96.063766479492,16.861953735352,1000,0,MPT,Hlaingtharya (East)
3254,0.0,UMTS,414,1,351,2041907,96.120071411133,16.88117980957,1000,0,MPT,Insein
3253,0.0,UMTS,414,1,351,2041909,96.118698120117,16.88117980957,1000,0,MPT,Insein
3216,0.0,UMTS,414,1,351,2041929,96.11457824707,16.878433227539,1000,0,MPT,Insein
3227,0.0,UMTS,414,1,351,2041727,96.112518,16.879807,1000,0,MPT,Insein
3320,0.0,UMTS,414,1,351,2042580,96.109085083008,16.885299682617,1000,0,MPT,Insein
3383,0.0,UMTS,414,1,351,2042748,96.10817,16.888504,1000,0,MPT,Insein
3354,0.0,UMTS,414,1,351,2042730,96.102562,16.887016,1000,0,MPT,Insein
3339,0.0,UMTS,414,1,351,2043040,96.100845336914,16.886672973633,1000,0,MPT,Insein
3339,0.0,UMTS,414,1,351,2042733,96.100845336914,16.886672973633,1000,0,MPT,Insein
3317,0.0,UMTS,414,1,351,2042734,96.099014,16.8853,1000,0,MPT,Insein
3304,0.0,UMTS,414,1,351,2043004,96.095352,16.88427,1000,0,MPT,Insein
3315,0.0,UMTS,414,1,351,2043003,96.096725463867,16.885299682617,1000,0,MPT,Insein
3271,0.0,UMTS,414,1,351,2043005,96.09260559082,16.882553100586,1000,0,MPT,Insein
2509,0.0,UMTS,414,1,351,2042103,96.083908,16.879349,1000,0,MPT,Hlaingtharya (East)
2502,0.0,UMTS,414,1,351,2042099,96.077499,16.877747,1000,0,MPT,Hlaingtharya (East)
2503,0.0,UMTS,414,1,351,2042102,96.076584,16.878433,1000,0,MPT,Hlaingtharya (East)
