candidate_id,adm3_name,adm4_name,lat,lon,is_rural,nearest_tower_km,gap_score,earthquake_raw,cyclone_raw,earthquake_score,cyclone_score,flood_score,hazard_score,safety_score,baseline_suitability,adm4_pcode,population_2020,population_score,nearest_tower_id,nearest_tower_lat,nearest_tower_lon,nearest_tower_township,nearest_tower_networks,nearest_tower_radios,nearest_tower_cell_count,nearest_tower_recheck_km,elevation_m,elevation_score
78,Kyauktan,Na Ywe Chaung,16.529282776241338,96.503287917945,1,22.06253624117172,0.8825014496468687,130.40610935003184,0.0807407812405291,0.1451452606078301,1.0,0.0,0.2733734715166556,0.7266265284833444,88.84948490606229,MMR013024012,2155.3281876444817,0.5888589597160686,4199,16.633987426758,96.327438354492,Kyauktan,Ooredoo,UMTS,1,22.06253624117303,6.0,0.13513513513513514
79,Kyauktan,Sit Ta Pin,16.589327049132255,96.55526763510817,1,19.525474672070047,0.7810189868828019,128.74949852872996,0.0795954132581921,0.0993740177940352,0.968239350834664,0.0,0.2297038177501295,0.7702961822498704,83.41558194671617,MMR013024013,1115.2968648672104,0.5383520972493898,8254,16.763788,96.534454,Thongwa,Telenor,UMTS,2,19.52547467207009,7.0,0.16216216216216217
80,Kyauktan,Mya Kaing,16.546757692830226,96.54907021505296,1,24.182881915453567,0.9673152766181426,128.60361339640244,0.0808722636169343,0.0953432920926069,1.0,0.0,0.2310417982787159,0.768958201721284,94.5732896229078,MMR013024014,2795.4342260956764,0.6087995193796758,8254,16.763788,96.534454,Thongwa,Telenor,UMTS,2,24.18288191545387,4.0,0.08108108108108109
81,Kyauktan,Boe Ba,16.53549669005154,96.52379370722512,1,23.61806670785753,0.9447226683143012,129.59222796908531,0.0808538771408677,0.1226581671819556,1.0,0.0,0.2542594421046622,0.7457405578953378,92.86946846728814,MMR013024015,2478.807810485363,0.5995814129547179,4199,16.633987426758,96.327438354492,Kyauktan,Ooredoo,UMTS,1,23.61806670785744,5.0,0.10810810810810811
82,Kyauktan,Tha Nat Pin Chin,16.604319777576762,96.3149438676914,1,3.123655431445189,0.1249462172578075,138.31828558470616,0.0755506077878093,0.3637543237420508,0.8089564418905127,0.0,0.4305346414643201,0.5694653585356799,41.03875341350365,MMR013024019,2858.5929275751114,0.6105128331378469,4195,16.631240844727,96.323318481445,Kyauktan,Ooredoo,UMTS,1,3.123655431445305,7.0,0.16216216216216217
83,Kyauktan,Baw Ga Lut,16.585900457481742,96.32082278678556,1,5.048636676250573,0.2019454670500229,137.91518688953204,0.0761885212816378,0.3526169292390745,0.834077233902819,0.0,0.4248359749386361,0.5751640250613639,45.74418839892184,MMR013024020,2375.7594343423843,0.596325490311481,4195,16.631240844727,96.323318481445,Kyauktan,Ooredoo,UMTS,1,5.04863667625068,3.0,0.05405405405405406
84,Kyauktan,Chaung Wa,16.574328584992475,96.29376875686108,1,7.0684576117325255,0.282738304469301,138.72077889627042,0.076117840031618,0.3748749918299595,0.831293833021517,0.0,0.4433378180086931,0.5566621819913069,50.31423099802767,MMR013024021,2977.659231901169,0.613642249798887,4195,16.631240844727,96.323318481445,Kyauktan,Ooredoo,UMTS,1,7.068457611732079,5.0,0.10810810810810811
85,Kyauktan,Kwa Hnee,16.542919420290527,96.37418175732589,1,11.147455781483885,0.4458982312593553,135.5938596079714,0.0783163491652462,0.2884799374433193,0.9178702908286316,0.0,0.3828884904511161,0.6171115095488838,61.010566518794576,MMR013024022,3509.055141925812,0.6262352857747049,4196,16.631240844727,96.324691772461,Kyauktan,Ooredoo,UMTS,1,11.147455781484936,7.0,0.16216216216216217
86,Kyauktan,Zwe Bar Kone Tan,16.519926260654252,96.36814592786251,1,13.215629486728725,0.5286251794691489,135.61796591830637,0.0789325878617806,0.2891459814951255,0.94213753752484,0.0,0.3870947148995827,0.6129052851004173,65.91109004465518,MMR013024023,2577.7837149500847,0.6025837015683486,4196,16.631240844727,96.324691772461,Kyauktan,Ooredoo,UMTS,1,13.21562948672817,4.0,0.08108108108108109
87,Kyauktan,Nyaung Waing,16.6784487071541,96.32605827176393,1,1.9535102241426987,0.0781404089657079,138.86616521365303,0.073540776224833,0.3788919355497244,0.7298100354235669,0.0,0.4315296505308008,0.5684703494691992,38.21547977998046,MMR013024024,8085.940443396568,0.6902611236268613,4214,16.686172485352,96.309585571289,Kyauktan,Ooredoo,UMTS,1,1.953510224143609,6.0,0.13513513513513514
